City,City_Admaster,City_EN,num,lat,lon,Province,Province_EN,Region,Tier
七台河,七台河市,Qitaihe,0,45.770035,131.007499,黑龙江,Heilongjiang,North,Tier 5
三亚,三亚市,Sanya,0,18.253466,109.503439,海南,Hainan,South,Tier 3
三明,三明市,Sanming,0,26.236795,117.603849,福建,Fujian,East,Tier 3
三门峡,三门峡市,Sanmenxia,0,34.767884,111.19084,河南,Henan,North,Tier 5
上海,上海市,Shanghai,1,31.225344,121.488892,上海,Shanghai,East,Tier 1
上饶,上饶市,Shangrao,0,28.447741,117.970553,江西,Jiangxi,South,Tier 3
东莞,东莞市,Dongguan,0,23.044471,113.746551,广东,Guangdong,South,new Tier 1
东营,东营市,Dongying,0,37.433474,118.668935,山东,Shandong,North,Tier 3
中卫,中卫市,Zhongwei,0,37.506217,105.169082,宁夏,Ningxia,West,Tier 5
中山,中山市,Zhongshan,0,22.521381,113.365614,广东,Guangdong,South,Tier 2
临汾,临汾市,Linfen,0,36.229963,111.381767,山西,Shanxi,North,Tier 5
临沂,临沂市,Linyi,0,35.10324,118.350699,山东,Shandong,North,Tier 3
临沧,临沧市,Lincang,0,23.880738,100.087998,云南,Yunnan,West,Tier 5
丹东,丹东市,Dandong,0,40.119283,124.368745,辽宁,Liaoning,North,Tier 3
丽水,丽水市,Lishui,0,28.470406,119.91843,浙江,Zhejiang,East,Tier 3
丽江,丽江市,Lijiang,0,26.874087,100.235633,云南,Yunnan,West,Tier 3
乌兰察布,乌兰察布市,Ulanqab,0,40.990269,113.131565,内蒙古,Neimenggu,North,Tier 5
乌海,乌海市,Wuhai,0,39.673309,106.818632,内蒙古,Neimenggu,North,Tier 5
乌鲁木齐,乌鲁木齐市,Urumqi,0,43.419754,87.319461,新疆,Xinjiang,West,Tier 2
乐山,乐山市,Leshan,0,29.560876,103.761992,四川,Sichuan,West,Tier 5
九江,九江市,Jiujiang,0,29.727536,115.991313,江西,Jiangxi,South,Tier 3
云浮,云浮市,Yunfu,0,22.931119,112.035945,广东,Guangdong,South,Tier 5
亳州,亳州市,Bozhou,0,33.858646,115.78062,安徽,Anhui,East,Tier 5
伊春,伊春市,Yichun,0,47.721146,128.879996,黑龙江,Heilongjiang,North,Tier 5
伊犁,伊犁哈萨克自治州,Yili,0,42.997251,0.594725,新疆,Xinjiang,West,Tier 5
佛山,佛山市,Foshan,0,23.024769,113.114634,广东,Guangdong,South,Tier 2
佳木斯,佳木斯市,Jiamusi,0,46.808779,130.373456,黑龙江,Heilongjiang,North,Tier 5
保定,保定市,Baoding,0,38.857974,115.490696,河北,Hebei,North,Tier 3
保山,保山市,Baoshan,0,25.118073,99.165417,云南,Yunnan,West,Tier 5
信阳,信阳市,Xinyang,0,32.127372,114.06766,河南,Henan,North,Tier 5
儋州,儋州市,Danzhou,0,19.51738,109.569719,海南,Hainan,South,Tier 5
克孜勒苏柯尔克孜,克孜勒苏柯尔克孜自治州,Kezilesukeerkezi,0,39.712422,76.171518,新疆,xinjiang,West,Tier 5
克拉玛依,克拉玛依市,Karamay,0,45.598304,84.86585,新疆,Xinjiang,West,Tier 5
六安,六安市,Lu'an,0,31.738349,116.514225,安徽,Anhui,East,Tier 5
六盘水,六盘水市,Liupanshui,0,26.592964,104.843637,贵州,Guizhou,West,Tier 5
兰州,兰州市,Lanzhou,0,36.059311,103.823916,甘肃,Gansu,West,Tier 2
兴安盟,兴安盟,Xinganmeng,0,39.78373,-100.445882,内蒙古,Neimenggu,North,Tier 5
内江,内江市,Neijiang,0,29.624191,105.13662,四川,Sichuan,West,Tier 5
凉山,凉山彝族自治州,Liangshan,0,27.746288,102.096615,四川,Sichuan,West,Tier 5
包头,包头市,Baotou,0,40.660201,109.830324,内蒙古,Neimenggu,North,Tier 3
北京,北京市,Beijing,1,39.905963,116.391248,北京,Beijing,North,Tier 5
北海,北海市,Beihai,0,21.479908,109.106806,广西,Guangxi,South,Tier 5
十堰,十堰市,Shiyan,0,32.655225,110.78109,湖北,Hubei,West,Tier 5
南京,南京市,Nanjing,0,32.060974,118.791646,江苏,Jiangsu,East,new Tier 1
南充,南充市,Nanchong,0,30.79557,106.083554,四川,Sichuan,West,Tier 3
南宁,南宁市,Nanning,0,22.832567,108.302725,广西,Guangxi,South,Tier 2
南平,南平市,Nanping,0,26.641737,118.173639,福建,Fujian,East,Tier 3
南昌,南昌市,Nanchang,0,28.67927,115.888599,江西,Jiangxi,South,Tier 2
南通,南通市,Nantong,0,31.98279,120.890459,江苏,Jiangsu,East,Tier 2
南阳,南阳市,Nanyang,0,33.00105,112.529269,河南,Henan,North,Tier 3
博尔塔拉,博尔塔拉蒙古自治州,Boertala,0,44.716338,82.245309,新疆,Xinjiang,West,Tier 5
厦门,厦门市,Xiamen,0,24.458696,118.074539,福建,Fujian,East,Tier 5
双鸭山,双鸭山市,Shuangyashan,0,46.644003,131.152446,黑龙江,Heilongjiang,North,Tier 5
台州,台州市,Taizhou,0,32.484955,119.911728,浙江,Zhejiang,East,Tier 2
合肥,合肥市,Hefei,0,31.822809,117.221803,安徽,Anhui,East,Tier 2
吉安,吉安市,Ji'an,0,27.114479,114.983574,江西,Jiangxi,South,Tier 5
吉林,吉林市,Jilin,0,42.999503,125.981605,吉林,Jilin,North,Tier 3
吐鲁番,吐鲁番地区,Tulufan,0,43.13394,89.307044,新疆,Xinjiang,West,Tier 5
吐鲁番,吐鲁番市,Turpan,0,42.942476,89.181687,新疆,Xinjiang,West,Tier 5
吕梁,吕梁市,L��liang,0,37.520095,111.144489,山西,Shanxi,North,Tier 5
吴忠,吴忠市,Wuzhong,0,37.982262,106.196111,宁夏,Ningxia,West,Tier 5
周口,周口市,Zhoukou,0,33.63063,114.642362,河南,Henan,North,Tier 5
呼伦贝尔,呼伦贝尔市,Hulunbuir,0,49.2188,119.743123,内蒙古,Neimenggu,North,Tier 5
呼和浩特,呼和浩特市,Hohhot,0,40.833796,111.673079,内蒙古,Neimenggu,North,Tier 3
和田,和田地区,Hetian,0,37.100573,79.932475,新疆,Xinjiang,West,Tier 5
咸宁,咸宁市,Xianning,0,29.843733,114.317328,湖北,Hubei,West,Tier 5
咸阳,咸阳市,Xianyang,0,34.307566,108.723436,陕西,Shanxi,West,Tier 3
哈密,哈密地区,Hami,0,42.835359,93.512774,新疆,Xinjiang,West,Tier 5
