Name,Collage,Province,City,City_EN
1,华中科技大学,湖北,武汉,Wuhan
2,武汉大学,湖北,武汉,Wuhan
3,山东大学,山东,济南,Jinan
4,华东师范大学,上海,上海,Shanghai
5,华北电力大学(北京),北京,北京,Beijing
6,吉林大学,吉林,长春,Changchun
7,吉林大学,吉林,长春,Changchun
8,吉林大学,吉林,长春,Changchun
9,吉林大学,吉林,长春,Changchun
10,吉林大学,吉林,长春,Changchun
11,吉林大学,吉林,长春,Changchun
12,吉林大学,吉林,长春,Changchun
13,吉林师范大学,吉林,四平,Siping
14,中南大学,湖南,长沙,Changsha
15,天津大学,天津,天津,Tianjin
16,太原理工大学,山西,太原,Taiyuan
17,重庆医科大学,重庆,重庆,Chongqing
18,东北林业大学,黑龙江,哈尔滨,Harbin
19,云南大学,云南,昆明,Kunming
20,哈尔滨工业大学(威海),山东,威海,Weihai
21,东北大学秦皇岛分校,河北,秦皇岛,Qinhuangdao
22,苏州科技大学,江苏,苏州,Suzhou
23,暨南大学,广东,广州,Guangzhou
24,吉林大学,吉林,长春,Changchun
